id,name,size,proof,abv,spirit_type,brand_id,popularity,avg_msrp,fair_price,shelf_price,total_score,wishlist_count,vote_count,bar_count,ranking
144,Elijah Craig Barrel Proof Batch A119,750,134.2,67.1,Bourbon,2,1980,69.98,104.95,91.89,4765,1205,1847,1713,76
145,Barrell Bourbon Infinite Barrel Project,750,130.0,65.0,Bourbon,146,1980,64.41,67.63,77.28,872,258,315,299,445
147,Four Roses Bourbon,750,80.0,40.0,Bourbon,148,100,22.42,28.02,26.80,1213,121,310,782,318
149,Woodford Reserve Double Oaked,375,90.4,45.2,Bourbon,2004,0,29.39,49.68,31.03,777,54,226,497,484
150,1792 Full Proof,750,,62.5,Bourbon,42,100098,45.92,73.06,79.87,16891,2392,5407,9092,14
158,Weller Antique 107,750,,53.5,Bourbon,156,100266,56.35,116.66,109.89,40001,8098,13989,17914,5
159,Blanton's Gold Edition,750,103.0,51.5,Bourbon,10,100190,119.99,232.52,324.99,14458,3680,4511,6267,15
164,Blanton's Original Single Barrel,750,93.0,46.5,Bourbon,10,100737,74.99,104.52,139.86,92451,8983,29697,53771,1
184,Belle Meade Cask Strength Reserve Bourbon,750,108.0,54.0,Bourbon,154,200,56.69,92.34,73.42,1988,219,468,1301,190
220,Noah's Mill,750,,57.2,Bourbon,8577,200,63.83,93.77,71.49,2967,273,762,1932,130
263,Old Forester 1920 Prohibition Style,750,115.0,57.5,Bourbon,152,100076,59.33,72.85,67.99,11816,1919,3016,6881,22
269,Old Fitzgerald 13 Year,750,100.0,50.0,Bourbon,234,1700,132.48,270.86,624.66,1114,816,199,99,345
281,Jefferson's Ocean Aged At Sea Voyage 17,750,90.0,45.0,Bourbon,232,200,50.24,64.63,56.27,1344,275,34,1035,294
286,Buffalo Trace Kosher Wheat 7 Year,750,,47.0,Bourbon,245,200,39.99,85.93,79.98,1984,276,566,1142,192
297,Old Elk Blended Straight Bourbon,750,88.0,44.0,Bourbon,252,200,52.00,55.34,52.82,1441,132,261,1048,279
355,Baker's 7 Year 107 Proof,750,,53.5,Bourbon,288,100050,61.08,85.23,74.99,7772,677,2013,5082,37
363,Jim Beam Double Oak,750,86.0,43.0,Bourbon,247,200,22.90,28.12,25.74,862,71,225,566,449
409,Weller Full Proof,750,,57.0,Bourbon,156,100191,61.99,188.33,399.99,20287,5486,6033,8768,10
413,Evan Williams Black Label,750,86.0,43.0,Bourbon,167,10000,13.98,18.38,16.66,929,99,478,352,430
429,Old Forester Statesman,750,95.0,47.5,Bourbon,152,100029,52.87,81.93,59.49,3261,342,848,2071,121
435,Crown Royal,750,80.0,40.0,Canadian Whisky,182,1996,25.72,43.80,30.99,2234,162,795,1277,168
466,Buffalo Trace,750,90.0,45.0,Bourbon,245,100447,26.99,41.82,36.96,49610,3403,12293,33914,4
477,George T. Stagg 2009 Release,750,141.4,70.7,Bourbon,352,1900,99.98,843.74,974.99,6424,3283,2363,778,57
495,Maker's Mark Cask Strength,750,113.2,56.6,Bourbon,333,200,49.73,65.34,55.70,2669,301,606,1762,142
519,Pappy Van Winkle 23 Year Family Reserve,750,,47.8,Bourbon,370,100046,321.64,958.61,4899.97,5689,2453,2982,254,64
521,Legent Bourbon Whiskey,750,94.0,47.0,Bourbon,4589,200,44.97,45.53,47.19,1390,127,373,890,285
542,Green Spot,750,80.0,40.0,Irish Whiskey,379,200,66.19,75.21,69.16,1183,154,274,755,325
567,Woodford Reserve Rye,750,90.4,45.2,Rye,2004,200,36.34,51.17,43.92,967,59,213,695,410
592,Lagavulin 16 Year,750,,43.0,Single Malt Scotch Whisky,392,200,102.22,119.13,114.42,1713,189,501,1023,238
620,Buffalo Trace,1750,90.0,45.0,Bourbon,245,100053,49.54,82.63,69.99,5928,365,1537,4026,60
633,Michter's Barrel Strength Rye Whiskey,750,111.8,55.9,Rye,405,100025,79.02,204.81,215.39,2490,608,771,1111,155
634,Murray Hill Club Bourbon,750,103.0,51.5,Bourbon,406,200,107.48,116.01,115.32,1115,97,323,695,343
651,Willett Pot Still Reserve Bourbon,1750,94.0,47.0,Bourbon,2986,0,112.49,134.22,113.29,1028,63,312,653,383
670,Coopers' Craft Barrel Reserve,750,100.0,50.0,Bourbon,2494,100045,32.22,44.66,40.03,2219,433,246,1540,171
678,WhistlePig 12 Year Old World,750,86.0,43.0,Rye,3549,200,124.99,152.67,159.15,1077,131,285,661,359
